lng,lat,pi,dst,sid,stn,dsts,types
41.333333,43.305556,558,pollen,9,Adange,pollen,1
-91.38,42.8,28,pollen surface sample,35,Cox Creek,pollen surface sample,1
-89.93,42.32,28,pollen surface sample,43,Wardsg17,pollen surface sample,1
-90.5,43.4,28,pollen surface sample,50,English River,pollen surface sample,1
-89.07,46.18,98,pollen surface sample,91,Site 21 (Swain unpublished),pollen surface sample,1
-90.58,46.28,98,pollen surface sample,95,Site 25 (Swain unpublished),pollen surface sample,1
-75.83,40.07,98,pollen surface sample,137,Site 67 (Swain unpublished),pollen surface sample,1
-75.52,40.45,98,pollen surface sample,140,Site 70 (Swain unpublished),pollen surface sample,1
-74.03,44.52,98,pollen surface sample,160,Site 90 (Swain unpublished),pollen surface sample,1
-73,43.28,98,pollen surface sample,175,Site 105 (Swain unpublished),pollen surface sample,1
-94.55155500000001,46.270579999999995,50,pollen,269,Billy's Lake,pollen,1
-130.65,61.683333,129,pollen,329,Candelabra Lake,pollen,1
-71.235833,47.639722,61,pollen,330,Tourbière Caribou,pollen,1
-63.25,55.666667,60,pollen,334,Caribou Hill,pollen,1
142,65,306,pollen,350,"Bol'shaya Kuobakh-Baga River, Channel Site",pollen,1
-121.86,45.12,238,pollen surface sample,423,Site 52 (Heusser 1978),pollen surface sample,1
-124.53069500000001,48.00985,238,pollen surface sample,459,Wentworth Lake,pollen surface sample,1
-124.12,47.8,238,pollen surface sample,475,Mount Walker,pollen surface sample,1
-95.73495,47.182465,69,pollen,508,Crazy Pond,pollen,1
-80.798611,25.319444,710,pollen surface sample,546,Loop Road Site 2,pollen surface sample,1
-93.57,31.51,32,pollen surface sample,625,Site 62 (Delcourt  et al. 1983),pollen surface sample,1
-63.75,58.63,745,pollen surface sample,684,Nakvak Lake,pollen surface sample,1
-74.25,44.03,109,pollen surface sample,721,Site 12 (Whitehead and Jackson 1990),pollen surface sample,1
-110.733333,44.916667,11,pollen,832,Gardiner's Hole,pollen,1
-122.966667,62.75,146,pollen surface sample,861,GMM059,pollen surface sample,1
-115.666667,54.466667,146,pollen surface sample,883,GMM094,pollen surface sample,1
-98.25,53,86,pollen,944,Grand Rapids,pollen,1
-76.128889,54.146944,61,loss-on-ignition,958,Lac Griault,"loss-on-ignition,
 pollen",2
-138.383333,68.383333,129,pollen,972,Hanging Lake,pollen,1
-79.6,39.1,68,pollen surface sample,1131,Dolly Sods,pollen surface sample,1
